ID;item_1_id;item_1_quantity;item_2_id;item_2_quantity;item_3_id;item_3_quantity;item_4_id;item_4_quantity
19712;19725;3;;;;;;
42010;42006;2;24276;5;;;;
24520;24519;2;24276;5;;;;
19742;19741;2;;;;;;
19746;19745;2;;;;;;
19720;19718;2;;;;;;
19744;19743;2;;;;;;
19747;19748;3;;;;;;
19740;19739;2;;;;;;
19679;19697;10;19704;1;;;;
70851;74328;50;43772;1;;;;
24305;24304;2;19663;1;24277;1;;
43772;43773;25;;;;;;
75322;74202;50;43772;1;;;;
24512;24511;2;24276;5;;;;
24510;24509;2;24276;5;;;;
24340;24339;2;19663;1;24277;1;;
24330;24329;2;19663;1;24277;1;;
19734;19730;2;;;;;;
19737;19732;3;;;;;;
19736;19731;2;;;;;;
19735;19729;4;;;;;;
19733;19728;2;;;;;;
19681;19924;1;19702;2;;;;
24325;24324;2;19663;1;24277;1;;
19709;19722;3;;;;;;
24515;24473;2;24276;5;;;;
45178;45177;2;;;;;;
37906;37907;15;12834;1;19721;1;;
24320;24319;2;19663;1;24277;1;;
19710;19723;3;;;;;;
19711;19724;3;;;;;;
19683;19699;3;;;;;;
19684;19700;2;;;;;;
24310;24309;2;19663;1;24277;1;;
24522;24521;2;24276;5;;;;
19685;19701;2;;;;;;
89271;89140;10;;;;;;
24508;24474;2;24276;5;;;;
24516;24475;2;24276;5;;;;
19714;19727;3;;;;;;
67832;66637;10;43772;1;;;;
19713;19726;2;;;;;;
19688;19699;3;19750;1;;;;
19738;19719;2;;;;;;
24824;89271;12;24305;1;89258;1;19721;5
