ID;item_1_id;item_1_quantity;item_2_id;item_2_quantity;item_3_id;item_3_quantity;item_4_id;item_4_quantity
9406;19720;10;;;;;;
9409;19740;10;13010;1;;;;
9411;19742;10;13006;1;;;;
9413;19744;10;13007;1;;;;
9478;19720;10;24342;3;;;;
9480;19720;10;24272;3;;;;
9482;19740;10;13010;1;24342;3;;
9484;19740;10;13010;1;24273;3;;
9486;19742;10;13006;1;24343;3;;
9488;19742;10;13006;1;24274;3;;
9491;19744;10;13007;1;24275;3;;
9494;19744;10;13007;1;24345;3;;
9566;19747;10;13008;1;;;;
9567;19747;10;13008;1;24341;3;;
9569;19747;10;13008;1;24276;3;;
9571;19746;10;13009;1;;;;
9572;19746;10;13009;1;24358;3;;
9574;19746;10;13009;1;24277;3;;
9404;19738;10;;;;;;
9414;19733;10;13010;1;;;;
9416;19734;10;13006;1;;;;
9418;19736;10;13007;1;;;;
9576;19735;10;13008;1;;;;
9581;19737;10;13009;1;;;;
9420;19679;10;;;;;;
9421;19683;10;13010;1;;;;
9422;19688;10;13006;1;;;;
9423;19681;10;13007;1;;;;
9429;19679;10;24284;3;;;;
9430;19679;10;24272;3;;;;
9451;19683;10;13010;1;24285;3;;
9454;19683;10;13010;1;24273;3;;
9459;19681;10;13007;1;24287;3;;
9462;19681;10;13007;1;24275;3;;
9466;19688;10;13006;1;24274;3;;
9468;19688;10;13006;1;24286;3;;
9586;19684;10;13008;1;;;;
9588;19684;10;13008;1;24288;3;;
9589;19684;10;13008;1;24276;3;;
9591;19685;10;13009;1;;;;
9593;19685;10;13009;1;24289;3;;
9594;19685;10;13009;1;24277;3;;
9439;19733;10;13010;1;24343;3;;
9445;19734;10;13006;1;24344;3;;
9449;19736;10;13007;1;24345;3;;
9580;19735;10;13008;1;24341;3;;
9427;19738;10;24342;3;;;;
9585;19737;10;13009;1;24358;3;;
