ID;item_1_id;item_1_quantity;item_2_id;item_2_quantity;item_3_id;item_3_quantity;item_4_id;item_4_quantity
99965;89271;48;76179;3;89103;3;19721;15
100031;89271;48;24518;15;89103;3;19721;15
100048;89271;48;24320;3;89216;3;19721;15
100063;89271;48;74328;250;89103;3;19721;15
100090;89271;48;74202;30;89258;3;19721;15
100144;89271;48;24289;15;89258;3;19721;15
100148;89271;48;24305;3;89103;3;19721;15
100158;89271;48;82678;30;89103;3;19721;15
100194;89271;48;83103;30;89103;3;19721;15
100219;89271;48;74328;30;89258;3;19721;15
100230;89271;48;24335;15;89103;3;19721;15
100238;89271;48;24335;100;89103;3;19721;15
100311;89271;48;24310;3;89216;3;19721;15
100345;89271;48;74328;30;89216;3;19721;15
100368;89271;48;83757;30;89103;3;19721;15
100385;89271;48;24366;15;89216;3;19721;15
100390;89271;48;48884;50;89216;3;19721;15
100400;89271;48;19717;30;89216;3;19721;15
100403;89271;48;49424;250;89216;3;19721;15
100411;89271;48;24295;15;89258;3;19721;15
100429;89271;48;72504;15;89103;3;19721;15
100435;89271;48;24310;3;89258;3;19721;15
100442;89271;48;24516;15;89103;3;19721;15
100448;89271;48;72436;15;89258;3;19721;15
100450;89271;48;74202;30;89103;3;19721;15
100453;89271;48;83103;30;89258;3;19721;15
100455;89271;48;24524;15;89258;3;19721;15
100479;89271;48;24773;3;89103;3;19721;15
100527;89271;48;24330;3;89258;3;19721;15
100542;89271;48;83103;30;89216;3;19721;15
100561;89271;48;24773;3;89216;3;19721;15
100579;89271;48;24532;15;89216;3;19721;15
100580;89271;48;24283;15;89103;3;19721;15
100614;89271;48;24295;15;89216;3;19721;15
100625;89271;48;74328;30;89103;3;19721;15
100659;89271;48;24320;3;89216;3;19721;15
100676;89271;48;24295;15;89258;3;19721;15
100693;89271;48;70957;3;89103;3;19721;15
100739;89271;48;74202;30;89103;3;19721;15
100752;89271;48;70851;3;89216;3;19721;15
100794;89271;48;73248;5;89258;3;19721;15
100849;89271;48;19663;3;89103;3;19721;15
100893;89271;48;43772;3;89103;3;19721;15
100908;89271;48;82582;250;89216;3;19721;15
100916;89271;48;19737;5;89216;3;19721;15
100924;89271;48;83757;30;89216;3;19721;15
100934;89271;48;67832;3;89258;3;19721;15
100947;89271;48;45178;5;89216;3;19721;15
104241;89271;48;66933;75;89103;3;19721;15
104256;89271;48;86601;96;89103;3;19721;15
104424;89271;48;74202;250;89103;3;19721;15
104501;89271;48;24315;3;89258;3;19721;15
