ID;item_1_id;item_1_quantity;item_2_id;item_2_quantity;item_3_id;item_3_quantity;item_4_id;item_4_quantity
24830;89271;8;24773;1;89216;2;19721;5
70450;24815;1;68942;1;74328;10;;
44956;89271;12;89258;1;19721;5;44941;250
24815;89271;12;19721;5;24357;5;89216;1
24806;89271;12;19721;5;24283;5;89103;1
24839;89271;4;24320;1;89216;3;19721;5
44957;89271;4;19721;5;89103;3;44941;250
70829;24806;1;68942;1;74202;10;;
74978;24824;1;68942;1;74202;10;;
71425;24821;1;68942;1;74202;10;;
24824;89271;12;24305;1;89258;1;19721;5
76166;24800;1;68942;1;74328;10;;
36044;89271;4;19721;5;36041;200;89216;3
24836;89271;8;19721;5;24300;5;89103;2
24833;89271;12;24330;1;89258;1;19721;5
76100;69370;1;68942;1;74328;10;;
24756;89271;8;24310;1;89258;2;19721;5
44951;89271;8;19721;5;44941;250;89103;2
24821;89271;4;19721;5;24289;5;89258;3
68437;89271;8;24;5;89103;2;19721;5
69370;89271;4;19721;5;74328;5;89258;3
24762;89271;12;24335;1;89103;1;19721;5
38206;89271;12;19721;5;86601;32;89103;1
24803;89271;4;24330;1;89103;3;19721;5
71276;24812;1;68942;1;74328;10;;
49460;89271;8;19721;5;89258;2;38024;3
89999;89271;4;77699;10;89103;3;19721;5
82791;24818;1;68942;1;83757;50;;
85713;89271;8;89216;2;86069;15;19721;5
83338;24824;1;68942;1;83103;50;;
84749;24821;1;68942;1;83103;50;;
24800;89271;12;24325;1;89103;1;19721;5
82633;24812;1;68942;1;82582;10;;
24812;89271;8;19699;25;19721;5;89216;2
24818;89271;12;19737;1;89216;1;19721;5
81091;89271;4;89216;3;81127;3;19721;5
84127;24803;1;68942;1;82678;1;;
83663;24806;1;68942;1;83757;50;;
73399;24803;1;68942;1;74202;10;;
72852;24818;1;68942;1;74328;10;;
83964;24815;1;68942;1;82678;1;;
83502;69370;1;68942;1;83103;50;;
83423;24800;1;68942;1;83103;50;;
24732;89271;8;83103;50;19721;5;89103;2
24703;89271;4;24370;5;89216;3;19721;5
24741;89271;8;72436;3;89258;2;19721;5
24735;89271;4;24520;5;89216;3;19721;5
24729;89271;4;42010;5;19721;5;89258;3
24791;89271;8;24340;1;89258;2;19721;5
24726;89271;8;24510;5;89103;2;19721;5
24720;89271;4;24305;1;89103;3;19721;5
24723;89271;8;66933;25;89103;2;19721;5
24691;89271;8;24512;5;89216;2;19721;5
24738;89271;4;72315;3;89216;3;19721;5
24753;89271;12;24320;1;89216;1;19721;5
24702;89271;4;70851;1;89216;3;19721;5
24788;89271;4;24366;5;89216;3;19721;5
24782;89271;8;24773;1;89103;2;19721;5
48907;89271;8;19721;5;48884;50;89216;2
24717;89271;8;37906;3;89216;2;19721;5
24827;89271;8;19721;5;24295;5;89258;2
24750;89271;4;24305;1;89103;3;19721;5
24757;89271;12;24335;1;89103;1;19721;5
24794;89271;12;24340;1;89258;1;19721;5
24687;89271;8;70957;1;89103;2;19721;5
24744;89271;4;24310;1;89258;3;19721;5
24711;89271;12;75322;1;89258;1;19721;5
24714;89271;12;37897;3;89258;1;19721;5
24771;89271;8;24515;5;19721;5;89258;2
24747;89271;12;24315;1;89258;1;19721;5
24797;89271;8;71069;50;89258;2;19721;5
24699;89271;4;74988;3;89258;3;19721;5
24768;89271;12;24516;5;89103;1;19721;5
24688;89271;12;76491;5;89103;1;19721;5
24765;89271;12;24508;5;89258;1;19721;5
24776;89271;4;24522;5;89103;3;19721;5
24708;89271;4;72504;3;89103;3;19721;5
24779;89271;12;75654;3;89103;1;19721;5
24696;89271;12;76179;1;19721;5;89103;1
