ID;item_1_id;item_1_quantity;item_2_id;item_2_quantity;item_3_id;item_3_quantity;item_4_id;item_4_quantity
24548;89271;10;24508;5;19721;10;89182;2
24551;89271;15;24516;5;89098;1;19721;10
24554;89271;15;24520;5;89182;1;19721;10
24555;89271;5;42010;5;89098;3;19721;10
24560;89271;5;24522;5;89182;3;19721;10
24561;89271;10;37906;5;89141;1;19721;10
24562;89271;15;24310;2;19721;10;89141;1
24567;89271;5;24330;1;19721;10;89098;3
24570;89271;10;75322;1;89098;2;19721;10
24571;89271;15;24512;5;89098;1;19721;10
24572;89271;10;24300;10;89098;2;19721;10
24575;89271;10;24295;10;89141;2;19721;10
24578;89271;10;70842;1;89141;1;19721;10
24580;89271;10;70957;1;89141;2;19721;10
24582;89271;5;24289;10;89141;3;19721;10
24583;89271;10;75654;3;89182;2;19721;10
24584;89271;10;24330;1;19721;10;89141;2
24589;89271;10;24305;1;19721;10;89098;2
24591;89271;15;24773;1;19721;10;89141;1
24592;89271;5;24351;10;89098;3;19721;10
24594;89271;5;76179;1;89098;3;19721;10
24597;89271;10;71069;50;89098;2;19721;10
24599;89271;10;24510;5;19721;10;89141;2
24600;89271;10;82678;1;89141;2;19721;10
24601;89271;5;19746;10;19721;10;89098;3
24605;89271;10;76491;5;89182;2;19721;10
24607;89271;5;83103;100;89098;3;19721;10
24609;89271;10;24315;1;19721;10;89182;2
24612;89271;10;72436;5;89141;2;19721;10
24615;89271;5;24370;5;89141;3;19721;10
24618;89271;10;70851;1;89141;2;19721;10
24621;89271;10;50025;5;89141;2;19721;10
24624;89271;5;66933;50;89141;3;19721;10
24627;89271;15;72315;5;89141;1;19721;10
24630;89271;5;24358;10;89141;3;19721;10
24632;89271;15;24515;5;89141;1;19721;10
24636;89271;10;74988;10;89098;2;19721;10
24639;89271;15;24310;1;19721;10;89098;1
24645;89271;10;19737;10;89182;2;19721;10
24648;89271;15;24366;10;89182;1;19721;10
24651;89271;15;24340;1;19721;10;89182;1
24654;89271;15;24325;1;19721;10;89182;1
24655;89271;5;19685;10;89182;3;19721;10
24658;89271;15;24283;10;89182;1;19721;10
24661;89271;10;24320;1;19721;10;89182;2
24664;89271;5;72504;3;89182;3;19721;10
24865;89271;5;24335;1;19721;10;89098;3
24868;89271;5;24310;1;19721;10;89182;3
36053;89271;10;89182;2;36041;100;19721;10
44944;89271;15;89141;1;19721;10;44941;250
44947;89271;15;89098;1;19721;10;44941;250
44950;89271;5;89141;3;19721;10;44941;250
48911;89271;15;48884;100;19721;10;89182;1
49457;89271;5;89141;3;19721;5;38024;5
68436;89271;10;86601;24;89141;2;19721;10
72092;89271;10;19721;10;89141;2;;
72339;89271;15;19721;10;76179;5;89141;1
74326;89271;15;19721;10;68942;1;89098;1
81045;89271;5;89141;3;81127;10;19721;10
86170;89271;5;89141;3;86069;50;19721;10
